#Data	Da: 2010/01/01	A: 2014/03/12
#Latitudine	Min: 30.0	Max: 46.0
#Longitudine	Min: 5.0	Max: 30.0
#Magnitudo	Min: 4.5	Max: 10.0	Tipo: Mag pref
#Profondità (km)	Min: ND	Max: ND
#Terremoti totali:	 148
#Tempo Origine (UTC);Latitudine;Longitudine;Profondità;Magnitudo;Fonte;
2014-03-05 12:49:21.600;38.159;20.272;10.0;4.8;SURVEY;
2014-02-15 07:31:17.800;38.34;20.28;2.0;4.9;SURVEY;
2014-02-14 03:38:01.000;38.26;20.29;10.0;4.7;SURVEY;
2014-02-09 08:23:02.000;38.28;20.29;10.0;4.5;AGENDA;
2014-02-06 19:20:59.340;38.12;20.339;6.4;4.6;SURVEY;
2014-02-03 03:08:46.000;38.29;20.31;10.0;5.8;AGENDA;
2014-02-01 16:33:40.000;38.21;20.36;2.0;5.0;AGENDA;
2014-01-29 21:04:00.000;37.2;21.69;20.0;4.6;AGENDA;
2014-01-27 13:05:54.000;38.3;20.4;33.0;4.7;AGENDA;
2014-01-26 21:15:35.500;38.109;20.324;12.2;4.6;SURVEY;
2014-01-26 18:45:07.620;38.205;20.358;10.0;5.1;SURVEY;
2014-01-26 13:55:44.000;38.23;20.48;10.0;5.9;AGENDA;
2014-01-20 06:00:15.000;41.27;19.46;10.0;4.5;AGENDA;
2013-12-29 17:08:43.640;41.369;14.444;10.5;5.0;SURVEY;
2013-11-18 07:58:41.590;43.638;16.997;9.2;4.8;SURVEY;
2013-11-12 18:09:27.000;38.902;23.09;10.0;4.8;AGENDA;
2013-10-15 19:33:12.000;45.63;26.59;150.0;4.8;AGENDA;
2013-10-12 13:11:53.000;35.52;23.28;52.0;6.4;AGENDA;
2013-10-06 01:37:20.000;45.74;26.55;114.0;5.4;AGENDA;
2013-09-16 15:01:16.000;38.75;22.8;10.0;5.3;AGENDA;
2013-09-16 14:42:41.000;38.74;22.75;10.0;4.6;AGENDA;
2013-09-09 17:35:00.000;38.03;20.78;10.0;4.5;AGENDA;
2013-09-08 04:59:30.000;34.83;25.08;2.0;5.0;AGENDA;
2013-08-09 04:19:24.000;39.33;20.38;5.0;4.5;AGENDA;
