,time,record,u,v,w,Tsonica,coderr,voltaje
0,2012-01-04 00:00:00.05,36810669.0,-1.27,-0.02,0.32,14.99,0.0,12.0
1,2012-01-04 00:00:00.1,36810670.0,-1.27,-0.02,0.32,14.99,0.0,12.0
2,2012-01-04 00:00:00.15,36810671.0,-1.25,-0.06,0.29,14.96,0.0,12.0
3,2012-01-04 00:00:00.2,36810672.0,-1.29,-0.09,0.25,14.96,0.0,12.0
4,2012-01-04 00:00:00.25,36810673.0,-1.21,-0.05,0.24,15.03,0.0,12.0
5,2012-01-04 00:00:00.3,36810674.0,-1.23,-0.06,0.38,14.99,0.0,12.0
6,2012-01-04 00:00:00.35,36810675.0,-1.3,-0.06,0.35,15.03,0.0,12.0
7,2012-01-04 00:00:00.4,36810676.0,-1.24,-0.1,0.28,14.99,0.0,12.0
8,2012-01-04 00:00:00.45,36810677.0,-1.23,-0.02,0.34,15.08,0.0,12.0
9,2012-01-04 00:00:00.5,36810678.0,-1.15,-0.0,0.35,15.01,0.0,12.0
10,2012-01-04 00:00:00.55,36810679.0,-1.18,0.03,0.37,15.05,0.0,12.0
11,2012-01-04 00:00:00.6,36810680.0,-1.21,0.03,0.43,15.1,0.0,12.0
12,2012-01-04 00:00:00.65,36810681.0,-1.2,0.06,0.4,15.18,0.0,12.0
13,2012-01-04 00:00:00.7,36810682.0,-1.16,0.01,0.38,15.15,0.0,12.0
14,2012-01-04 00:00:00.75,36810683.0,-1.15,-0.0,0.35,15.18,0.0,12.0
15,2012-01-04 00:00:00.8,36810684.0,-1.15,-0.0,0.35,15.18,0.0,12.0
16,2012-01-04 00:00:00.85,36810685.0,-1.15,-0.0,0.35,15.18,0.0,12.0
17,2012-01-04 00:00:00.9,36810686.0,-1.08,0.02,0.34,15.23,0.0,12.0
18,2012-01-04 00:00:00.95,36810687.0,-1.15,0.07,0.35,15.23,0.0,12.0
19,2012-01-04 00:00:01,36810688.0,-1.14,0.08,0.32,15.2,0.0,12.0
20,2012-01-04 00:00:01.05,36810689.0,-1.15,0.07,0.35,15.23,0.0,12.0
21,2012-01-04 00:00:01.1,36810690.0,-1.09,0.09,0.34,15.28,0.0,12.0
22,2012-01-04 00:00:01.15,36810691.0,-1.1,0.15,0.39,15.32,0.0,12.0
23,2012-01-04 00:00:01.2,36810692.0,-1.19,0.18,0.29,15.28,0.0,12.0
24,2012-01-04 00:00:01.25,36810693.0,-1.18,0.14,0.18,15.35,0.0,12.0
25,2012-01-04 00:00:01.3,36810694.0,-1.18,0.14,0.18,15.35,0.0,12.0
26,2012-01-04 00:00:01.35,36810695.0,-1.16,0.18,0.24,15.4,0.0,12.0
27,2012-01-04 00:00:01.4,36810696.0,-1.17,0.14,0.27,15.43,0.0,12.0
28,2012-01-04 00:00:01.45,36810697.0,-1.19,0.1,0.29,15.4,0.0,12.0
29,2012-01-04 00:00:01.5,36810698.0,-1.23,0.15,0.24,15.4,0.0,12.0
30,2012-01-04 00:00:01.55,36810699.0,-1.22,0.14,0.24,15.45,0.0,12.0
31,2012-01-04 00:00:01.6,36810700.0,-1.17,0.12,0.19,15.5,0.0,12.0
32,2012-01-04 00:00:01.65,36810701.0,-1.17,0.12,0.19,15.5,0.0,12.0
33,2012-01-04 00:00:01.7,36810702.0,-1.26,0.09,0.11,15.47,0.0,12.0
34,2012-01-04 00:00:01.75,36810703.0,-1.22,0.13,0.18,15.47,0.0,12.0
35,2012-01-04 00:00:01.8,36810704.0,-1.24,0.1,0.19,15.45,0.0,12.0
36,2012-01-04 00:00:01.85,36810705.0,-1.18,0.13,0.18,15.45,0.0,12.0
37,2012-01-04 00:00:01.9,36810706.0,-1.13,0.22,0.22,15.42,0.0,12.0
38,2012-01-04 00:00:01.95,36810707.0,-1.21,0.17,0.21,15.47,0.0,12.0
39,2012-01-04 00:00:02,36810708.0,-1.22,0.14,0.24,15.45,0.0,12.0
40,2012-01-04 00:00:02.05,36810709.0,-1.22,0.14,0.24,15.45,0.0,12.0
41,2012-01-04 00:00:02.1,36810710.0,-1.26,0.13,0.22,15.42,0.0,12.0
42,2012-01-04 00:00:02.15,36810711.0,-1.21,0.18,0.21,15.37,0.0,12.0
43,2012-01-04 00:00:02.2,36810712.0,-1.18,0.14,0.18,15.35,0.0,12.0
44,2012-01-04 00:00:02.25,36810713.0,-1.21,0.14,0.32,15.32,0.0,12.0
45,2012-01-04 00:00:02.3,36810714.0,-1.24,0.18,0.25,15.32,0.0,12.0
46,2012-01-04 00:00:02.35,36810715.0,-1.31,0.18,0.25,15.28,0.0,12.0
47,2012-01-04 00:00:02.4,36810716.0,-1.24,0.15,0.16,15.32,0.0,12.0
48,2012-01-04 00:00:02.45,36810717.0,-1.24,0.15,0.16,15.32,0.0,12.0
49,2012-01-04 00:00:02.5,36810718.0,-1.32,0.19,0.16,15.32,0.0,12.0
50,2012-01-04 00:00:02.55,36810719.0,-1.22,0.1,0.12,15.28,0.0,12.0
51,2012-01-04 00:00:02.6,36810720.0,-1.16,0.08,0.05,15.27,0.0,12.0
52,2012-01-04 00:00:02.65,36810721.0,-1.14,-0.08,0.22,15.27,0.0,12.0
53,2012-01-04 00:00:02.7,36810722.0,-1.18,-0.16,0.19,15.18,0.0,12.0
54,2012-01-04 00:00:02.75,36810723.0,-1.33,-0.08,0.18,15.18,0.0,12.0
