nro	anio	mes	dia	Azul	BahiaBlanca	'Bella Vista'	'Buenos Aires'	'Caseros'	'Ceres'	'Concordia'	'Cordoba'	'Corrientes'	'Formosa'	'Gral Pico'	'Gualeguaychu'	'Junin'	'La Plata'	'Laboulaye'	'Marcos Juarez'	'Mar del Plata'	'Parana'	'Paso de los Libres'	'Pehuajo'	'Pergamino'	'Posadas'	'Reconquista'	'Rio Cuarto'	'Rosario'	'San Luis'	'Sauce Viejo'	'Santa Rosa'	'Tandil'	'Tres Arroyos'
1	1970	1	1	0	10	0	0	0	0	0	0	0	0	7.7	0	0	0	1.8	0	0	0	0	0	0	12.4	0	0.1	0	12.6	0	28.8	0	3.8
2	1970	1	2	9.4	-999	0.9	13.5	46.8	29.2	2	27.5	0	43	0	0	0	14	0	1.8	42.5	7.5	0	2.1	0	1.2	92	0.3	2.3	0	4	4.6	27.5	0
3	1970	1	3	0	0	87.4	1.4	4	0.9	0	2.4	4	0	0.6	2.7	0	0.2	33.6	0.5	0	0	0	0	0	0.9	43.9	87.9	0	69	0.6	0	0	0
4	1970	1	4	3.2	49	0	0.2	0	0	0	3.6	0	0	36.8	0.6	3.9	3.1	58.8	10	3.2	0.2	0	20.1	2.8	0	0	16	42.5	11.8	0	40	3	33.2
5	1970	1	5	13.6	3.7	0	27.4	65	10	155	0	0	0	0	15.3	9.6	19	3	-999	52.6	7.1	0	7.8	0.9	0	0	3	1	0	1	0	47	29.7
6	1970	1	6	0	0	0	0	46.1	0.9	11	0	0	0	0.3	0	0	0	0	0	0	0	0	0.3	0	5.7	0.5	0	0	0	0	0	0	0
7	1970	1	7	0.5	9.4	38.3	11.6	49.6	0	11.5	7.7	7	0	0	76.8	1.2	6.5	0	0	0.3	75.7	0	7.8	2.3	0	107.1	0	4	0	23.1	0	3.8	3.5
8	1970	1	8	0	0	5.5	0	14.9	3.9	6.2	2.6	11.4	74.5	0	0.3	0	0	0	0	0	0.1	0	0	0	7.6	79.3	0	0	0	0	0	0	0
9	1970	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	0
10	1970	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	1970	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1970	1	12	0	0	0	0	0	0	0	0	0	0	12.8	0	2.2	0	3	3.4	44.3	0.3	0	3.2	1.7	0	0	8.3	2.3	17	0.3	0	5.3	5.9
13	1970	1	13	0	-999	13	0.4	3.8	0	8	0	23	11.6	0	5.6	0	0	0	0	2.6	1.3	0	0	0	0	0	0	3.2	0	0.6	0	0	0.2
14	1970	1	14	0	0	0	0	0	0	0	0	-999	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	1970	1	15	0	4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	1970	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6	0	0	0	0	0	0	0	0	0	0	0	1	0
17	1970	1	17	6.5	0	0	0	0	0.6	0	28	0	0	2.4	0	0	0	6.8	0	0	0	0	14.5	0	0	0	23	0	13.2	0	0	2	7.8
18	1970	1	18	0.6	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	5.8	0	0	0	0	0	0	0	0	0	0.3	0	2	0
19	1970	1	19	0	0	0	0	0	0	0	0	0	0	12	0	0	0	17.4	13.9	0	0	0	0.3	0	-999	0	37	0	0	0	16.9	0	0
20	1970	1	20	0	0	0	0	0	0	0	0	0	0	12.8	0	1.2	0	2.5	29	0	0	0	2	0	0	0	0	0	0	0	23.7	0	0
21	1970	1	21	0	8	0	1.6	0	8	1	1.4	0	0	0.6	4.6	22.1	-999	2.1	6.5	0	15.6	0	12.1	32	0	10.2	0	28.5	0	15	0	0	0.2
22	1970	1	22	0	0	0	0	0	0	0	3	0	0	15.1	0	0	0	0	0	0	0	0	3.7	0	0	0	0.4	0	10.5	0	9	0	0
23	1970	1	23	55.7	0	19.5	13.8	15.5	28.4	21.5	13	19.2	7.3	25.9	17.7	96.8	13.8	55.1	43	9.5	45.7	0	110.7	26	0	24.5	17	63	30	31	15.6	34	1.9
24	1970	1	24	0	20	0	23.4	0	0	0	0	-999	26.6	0	0	0	3	0.8	0	6	0	0	0	0	-999	0	0	0	0	0	0	0	9.8
25	1970	1	25	0	0	0	0	0	0	0	0	-999	0	0	0	0	0	3.8	0.9	5.1	0	0	0	0	0	0	13.6	0.5	15.5	0	0	13.5	0
26	1970	1	26	0	0	0	29.5	0	0	0	0	0	0	0	0.3	0	16.4	5.6	0	0	0.5	0	0	0.2	0	0.6	0	0.1	0	0	0	0	0
27	1970	1	27	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2.2	1.1	0	2.4	0	0.3	0	0	0	0	0	0	2	0	0	0
28	1970	1	28	0.2	0	60.3	0.6	22.7	0.6	9	0.3	35.8	46.6	0	11.3	1.8	0.6	4	12.7	0	31.4	0	2.3	3.3	1	26.3	0.8	21	21	37.7	0	0	0
29	1970	1	29	0	0	0	0	0	0	0	0	3	34	0	0	0	0	0	0	0	0	0	0	0	39.1	0	0	0	0	0	0	0	0
30	1970	1	30	0	0	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	1970	1	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0
32	1970	2	1	12	18.3	0	27.1	0	0	0	0	0.2	0	6.2	0	6.2	21.2	7.2	5	4.2	2	0	29.9	50	0	0	26.5	5.5	18	1	3.7	9.5	10
