Model:	LI-7500A Open Path CO2/H2O Analyzer
SN:	75H-2202
Instrument:	AIU-0702
File Type:	2
Software Version:	5.0.3
Timestamp:	18:00:00
Timezone:	America/Buenos_Aires
DATAH	Sequence Number	Diagnostic Value	Date	Time	CO2 Absorptance	H2O Absorptance	CO2 (mmol/m^3)	H2O (mmol/m^3)	Temperature (C)	Pressure (kPa)	Aux 1 - U (m/s)	Aux 2 - V (m/s)	Aux 3 - W (m/s)	Aux 4 - SOS (m/s)	Cooler Voltage (V)	CO2 (umol/mol)	H2O (mmol/mol)	Dew Point (C)	AGC	H2O Sample	H2O Reference	CO2 Sample	CO2 Reference	CHK
DATA	4275896	245	2014-03-18	18:00:00:000	0.0808803	0.0415618	14.7357	274.652	20.7136	94.7495	0.787697	0.748925	-0.142593	342.232	2.02202	379.934	7.08139	1.23529	37.5	41360	42733	38038	42235	101
DATA	4275926	245	2014-03-18	18:00:00:100	0.0808588	0.0415714	14.7308	274.732	20.7136	94.7518	0.891771	0.910137	-0.25381	342.317	2.02182	379.822	7.08371	1.24594	37.5	41359	42733	38038	42234	 31
DATA	4275956	245	2014-03-18	18:00:00:200	0.0808486	0.0416008	14.7283	274.968	20.7151	94.7518	0.993805	0.859121	-0.25381	342.151	2.02192	379.746	7.08961	1.25664	37.5	41357.5	42732.5	38039	42234	247
DATA	4275986	245	2014-03-18	18:00:00:300	0.0808054	0.0416218	14.7182	275.138	20.7166	94.7518	0.861161	0.755047	-0.258146	342.116	2.02192	379.489	7.09406	1.26432	37.5	41360.5	42735	38040	42236	171
DATA	4276016	245	2014-03-18	18:00:00:400	0.0808464	0.0415886	14.7279	274.871	20.7166	94.7518	0.891771	0.777494	-0.220649	342.301	2.02192	379.751	7.08739	1.24554	37.5	41359.5	42733	38039.5	42235	 54
DATA	4276046	245	2014-03-18	18:00:00:500	0.0808152	0.0415994	14.7207	274.959	20.7182	94.7495	0.987683	0.757087	-0.196671	341.825	2.02187	379.568	7.08973	1.26044	37.5	41361.5	42733.5	38036.5	42235	168
DATA	4276076	245	2014-03-18	18:00:00:600	0.0809061	0.0415494	14.742	274.554	20.7197	94.7472	1.01421	0.748925	-0.215547	341.672	2.02187	380.12	7.07935	1.19195	37.5	41368	42734.5	38030.5	42235.5	215
DATA	4276106	245	2014-03-18	18:00:00:700	0.081064	0.0414061	14.779	273.393	20.7197	94.7495	1.05911	0.675461	-0.226516	341.87	2.02192	381.078	7.04948	1.16769	37.5	41369	42734	38030	42235.5	234
DATA	4276136	245	2014-03-18	18:00:00:800	0.0810594	0.041404	14.7777	273.374	20.7197	94.7472	0.955032	0.781575	-0.113768	342.172	2.02192	381.033	7.04876	1.18522	37.5	41363	42732.5	38032.5	42233	212
DATA	4276166	245	2014-03-18	18:00:00:900	0.0809438	0.0414817	14.7508	274.005	20.7228	94.7495	0.761169	0.842795	-0.145144	342.317	2.02197	380.349	7.06524	1.22866	37.5	41361.5	42734.5	38039	42235.5	131
DATA	4276196	245	2014-03-18	18:00:01:000	0.0808466	0.0415627	14.728	274.661	20.7228	94.7495	0.746884	0.761169	-0.11989	342.343	2.02187	379.757	7.08206	1.25471	37.5	41358	42732.5	38039.5	42234	209
DATA	4276226	245	2014-03-18	18:00:01:100	0.0808171	0.0416074	14.721	275.022	20.7243	94.7495	0.655054	0.779535	-0.0176009	342.335	2.02197	379.57	7.09126	1.26176	37.5	41357.5	42733	38040	42234	106
DATA	4276256	245	2014-03-18	18:00:01:200	0.0807904	0.0416266	14.7147	275.177	20.7259	94.7495	0.695867	0.808104	-0.00612205	342.217	2.02202	379.402	7.09514	1.25833	37.5	41357.5	42733	38040.5	42234.5	203
DATA	4276286	245	2014-03-18	18:00:01:300	0.0807886	0.041612	14.7143	275.059	20.7259	94.7518	0.73464	0.73464	-0.000765256	341.975	2.02202	379.4	7.09224	1.25545	37.5	41359	42732.5	38038	42234	 77
DATA	4276316	245	2014-03-18	18:00:01:400	0.0808318	0.0415758	14.7244	274.766	20.7274	94.7542	0.750965	0.679542	-0.0482111	341.807	2.02192	379.666	7.08477	1.24242	37.5	41363	42734.5	38036.5	42236	 84
DATA	4276346	245	2014-03-18	18:00:01:500	0.0809198	0.0415134	14.745	274.26	20.729	94.7495	0.771372	0.689745	-0.0604552	341.887	2.02192	380.192	7.07166	1.19971	37.5	41364.5	42734	38034	42235.5	193
DATA	4276376	245	2014-03-18	18:00:01:600	0.0809763	0.0414728	14.7583	273.932	20.729	94.7495	0.753006	0.742803	-0.0349467	341.972	2.02177	380.544	7.06337	1.19707	37.5	41363	42732.5	38032.5	42234.5	133
DATA	4276406	245	2014-03-18	18:00:01:700	0.0809606	0.0414951	14.7545	274.111	20.7305	94.7518	0.604037	0.757087	-0.110197	342.04	2.02182	380.437	7.06782	1.22084	37.5	41364	42734	38033.5	42235	 93
DATA	4276436	245	2014-03-18	18:00:01:800	0.0809658	0.0414973	14.7558	274.13	20.7321	94.7495	0.587712	0.863202	-0.0372425	342.026	2.02177	380.484	7.06854	1.21859	37.5	41363	42733.5	38036	42235.5	 27
DATA	4276466	245	2014-03-18	18:00:01:900	0.0809201	0.0415287	14.7451	274.385	20.7336	94.7542	0.479557	0.865242	-0.0086729	342.036	2.02182	380.211	7.07516	1.22737	37.5	41362	42733	38035	42234	119
DATA	4276496	245	2014-03-18	18:00:02:000	0.0809184	0.0415391	14.7447	274.469	20.7352	94.7495	0.204067	1.15298	-0.217588	341.938	2.02187	380.202	7.07735	1.22552	37.5	41363	42732.5	38033	42234	127
DATA	4276526	245	2014-03-18	18:00:02:100	0.0809544	0.0414713	14.7532	273.921	20.7367	94.7495	0.318344	1.17542	-0.0553535	341.998	2.02187	380.429	7.06336	1.18548	37.5	41367	42733.5	38033	42235	182
DATA	4276556	245	2014-03-18	18:00:02:200	0.0809918	0.0414227	14.7619	273.526	20.7382	94.7495	0.487719	1.15502	-0.0543332	341.998	2.02182	380.646	7.05307	1.19416	37.5	41363	42732.5	38033	42234	178
DATA	4276586	245	2014-03-18	18:00:02:300	0.080942	0.0415016	14.7504	274.167	20.7413	94.7495	0.724437	1.26317	-0.0854536	341.98	2.02192	380.365	7.0699	1.21935	37.5	41363.5	42733.5	38035	42234.5	220
DATA	4276616	245	2014-03-18	18:00:02:400	0.0809192	0.041496	14.745	274.121	20.7413	94.7495	0.471394	1.2999	-0.139532	341.913	2.02177	380.225	7.06866	1.20961	37.5	41364.5	42734.5	38035	42235.5	170
DATA	4276646	245	2014-03-18	18:00:02:500	0.0809342	0.0414822	14.7483	274.005	20.7429	94.7518	0.412215	1.3346	-0.124482	341.923	2.02172	380.291	7.06535	1.19402	37.5	41367.5	42734.5	38032.5	42235.5	 79
DATA	4276676	245	2014-03-18	18:00:02:600	0.0809957	0.0414423	14.7626	273.681	20.7444	94.7542	0.375483	1.21012	-0.112748	341.919	2.02177	380.658	7.05696	1.17225	37.5	41370.5	42732.5	38030	42234.5	 64
DATA	4276706	245	2014-03-18	18:00:02:700	0.0810605	0.0413357	14.7777	272.816	20.7475	94.7542	0.514248	1.07951	-0.240035	341.972	2.02187	381.037	7.03446	1.13773	37.5	41369.5	42734	38030.5	42235	212
DATA	4276736	245	2014-03-18	18:00:02:800	0.0810225	0.0413751	14.769	273.14	20.749	94.7565	0.691786	0.995845	-0.251514	341.965	2.02177	380.845	7.04336	1.20098	37.5	41364.5	42733	38034.5	42234.5	237
DATA	4276766	245	2014-03-18	18:00:02:900	0.080936	0.0414826	14.7487	274.008	20.7506	94.7518	0.64281	0.881568	-0.0528027	342.036	2.02172	380.31	7.06558	1.21755	37.5	41363	42733	38034.5	42235	 74
DATA	4276796	245	2014-03-18	18:00:03:000	0.0809223	0.0415121	14.7457	274.252	20.7521	94.7518	0.691786	0.97952	0.0591798	342.08	2.02172	380.261	7.07235	1.22586	37.5	41363.5	42733.5	38035.5	42235	 24
DATA	4276826	245	2014-03-18	18:00:03:100	0.0809191	0.0415246	14.745	274.353	20.7537	94.7518	0.693827	0.987682	0.0283145	342.151	2.02177	380.242	7.07499	1.23145	37.5	41361.5	42733	38036	42234.5	233
DATA	4276856	245	2014-03-18	18:00:03:200	0.0809132	0.0415522	14.7434	274.574	20.7552	94.7495	0.579549	1.01217	0.159428	342.145	2.02197	380.189	7.08044	1.23701	37.5	41361.5	42733.5	38036.5	42235.5	114
DATA	4276886	245	2014-03-18	18:00:03:300	0.0808992	0.0415532	14.7402	274.583	20.7567	94.7518	0.544858	0.97952	0.333652	342.202	2.02187	380.11	7.08075	1.23025	37.5	41360	42732	38036	42234	182
DATA	4276916	245	2014-03-18	18:00:03:400	0.0808856	0.0415534	14.7369	274.582	20.7583	94.7518	0.395889	0.942788	0.335437	342.548	2.02187	380.014	7.08054	1.24646	37.5	41360	42733	38038.5	42234.5	 12
DATA	4276946	245	2014-03-18	18:00:03:500	0.0808394	0.0415752	14.7263	274.762	20.7599	94.7518	0.375483	0.971357	0.265544	342.411	2.02177	379.766	7.08565	1.26501	37.5	41356	42733.5	38043	42234.5	  8
DATA	4276976	245	2014-03-18	18:00:03:600	0.0807202	0.0416849	14.6982	275.649	20.7629	94.7518	0.420377	1.03258	0.332886	342.428	2.02187	379.021	7.10813	1.27726	37.5	41358	42732.5	38038.5	42234.5	 45
DATA	4277006	245	2014-03-18	18:00:03:700	0.0808174	0.0416226	14.7209	275.144	20.7645	94.7518	0.55098	1.05298	0.390791	342.581	2.02182	379.612	7.0952	1.26844	37.5	41356	42732	38042	42234	135
DATA	4277036	245	2014-03-18	18:00:03:800	0.0807435	0.0416548	14.7038	275.406	20.7675	94.7518	0.638729	1.1142	0.421911	342.483	2.02182	379.181	7.10219	1.29646	37.5	41354.5	42733.5	38045	42235	125
DATA	4277066	245	2014-03-18	18:00:03:900	0.0806854	0.0417237	14.6901	275.965	20.7691	94.7518	0.693827	1.104	0.296409	342.201	2.02182	378.822	7.11647	1.30496	37.5	41354.5	42732	38042	42234.5	 81
DATA	4277096	245	2014-03-18	18:00:04:000	0.080751	0.0416832	14.7055	275.637	20.7706	94.7518	0.610159	1.28766	0.189273	341.9	2.02167	379.231	7.10823	1.26303	37.5	41362	42733.5	38039.5	42235	 20
DATA	4277126	245	2014-03-18	18:00:04:100	0.0808479	0.0415482	14.7281	274.54	20.7737	94.7542	0.585671	1.35908	0.197691	341.713	2.02172	379.809	7.07986	1.21283	37.5	41363.5	42733	38034.5	42234	151
DATA	4277156	245	2014-03-18	18:00:04:200	0.0809084	0.0414659	14.7423	273.875	20.7753	94.7518	0.499963	1.45295	0.149225	341.59	2.02192	380.187	7.0629	1.16948	37.5	41369.5	42732	38029.5	42234.5	215
DATA	4277186	245	2014-03-18	18:00:04:300	0.081053	0.0413223	14.7763	272.714	20.7784	94.7518	0.477516	1.45295	0.117084	341.582	2.02182	381.078	7.03325	1.13041	37.5	41373.5	42733.5	38030	42234.5	196
DATA	4277216	245	2014-03-18	18:00:04:400	0.0810615	0.0412544	14.7784	272.166	20.7799	94.7495	0.453028	1.43255	0.131114	341.592	2.02172	381.14	7.01927	1.11308	37.5	41372.5	42731.5	38027.5	42234	193
DATA	4277246	245	2014-03-18	18:00:04:500	0.0810901	0.0412571	14.785	272.186	20.7814	94.7495	0.499963	1.41826	0.166061	341.598	2.02187	381.302	7.01964	1.11045	37.5	41374	42734	38029.5	42234.5	127
DATA	4277276	245	2014-03-18	18:00:04:600	0.0810699	0.0412524	14.7804	272.15	20.7845	94.7472	0.499963	1.43867	0.115554	341.583	2.02172	381.203	7.01906	1.11575	37.5	41373.5	42732	38027.5	42234	127
DATA	4277306	245	2014-03-18	18:00:04:700	0.0810902	0.0412703	14.7848	272.291	20.7892	94.7472	0.546899	1.43051	0.10586	341.602	2.02192	381.296	7.02229	1.11912	37.5	41375.5	42734	38029.5	42235	116
DATA	4277336	245	2014-03-18	18:00:04:800	0.0810661	0.0412421	14.7793	272.064	20.7922	94.7518	0.569346	1.3999	0.117594	341.642	2.02192	381.162	7.01662	1.11208	37.5	41373.5	42733	38027.5	42234	115
DATA	4277366	245	2014-03-18	18:00:04:900	0.0810981	0.0412469	14.7866	272.1	20.7938	94.7542	0.663217	1.4101	0.16453	341.703	2.02192	381.335	7.01727	1.11395	37.5	41373.5	42733	38029	42235.5	216
DATA	4277396	245	2014-03-18	18:00:05:000	0.081072	0.0412613	14.7805	272.217	20.7953	94.7518	0.689745	1.46112	0.173713	341.796	2.02177	381.19	7.02048	1.11612	37.5	41372.5	42733	38029.5	42235	 62
DATA	4277426	245	2014-03-18	18:00:05:100	0.081051	0.0412863	14.7756	272.42	20.7969	94.7565	0.589753	1.43051	0.14897	341.749	2.02182	381.067	7.02578	1.15388	37.5	41370.5	42734	38030.5	42235	 37
DATA	4277456	245	2014-03-18	18:00:05:200	0.0810396	0.0413352	14.773	272.817	20.8	94.7542	0.508126	1.4754	0.129583	341.627	2.02177	381.008	7.03617	1.13379	37.5	41375.5	42734.5	38029.5	42236.5	115
